#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Monitor 218 1-4 DT-670,5-6 Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- Diode1  Sensor 2 -- Diode2  Sensor 3 -- Diode3  Sensor 4 -- Diode4  Sensor 5 -- Cernox5  Sensor 6 -- Cernox6  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	Sensor 3	Sensor 4	Sensor 5	Sensor 6	
    108.04	+294.40	+294.36	+295.13	+294.38	+286.03	+285.74
    108.95	+294.40	+294.36	+295.14	+294.38	+286.15	+285.67
    109.85	+294.40	+294.35	+295.14	+294.38	+286.02	+285.74
    110.76	+294.40	+294.35	+295.14	+294.39	+286.02	+285.73
    111.66	+294.40	+294.35	+295.14	+294.38	+286.00	+285.89
    112.57	+294.40	+294.35	+295.14	+294.39	+286.02	+285.67
    113.47	+294.40	+294.35	+295.14	+294.39	+286.05	+285.79
    114.38	+294.39	+294.36	+295.14	+294.38	+285.95	+285.74
    115.28	+294.39	+294.36	+295.14	+294.39	+286.10	+285.73
    116.19	+294.39	+294.36	+295.14	+294.39	+286.11	+285.72
    117.09	+294.39	+294.36	+295.14	+294.38	+286.04	+285.60
    118.00	+294.39	+294.36	+295.14	+294.39	+286.03	+285.68
    118.90	+294.40	+294.35	+295.14	+294.39	+285.95	+285.68
    119.81	+294.40	+294.35	+295.14	+294.38	+285.87	+285.71
    120.71	+294.40	+294.35	+295.14	+294.39	+286.10	+285.69
    121.62	+294.40	+294.35	+295.14	+294.38	+286.03	+285.69
    122.52	+294.40	+294.35	+295.14	+294.39	+285.87	+285.79
    123.43	+294.40	+294.36	+295.13	+294.39	+285.93	+285.59
    124.33	+294.39	+294.36	+295.14	+294.38	+285.85	+285.78
    125.24	+294.40	+294.36	+295.14	+294.38	+285.88	+285.84
    126.14	+294.40	+294.36	+295.14	+294.39	+285.99	+285.69
    127.05	+294.40	+294.36	+295.14	+294.38	+285.98	+285.69
    127.95	+294.40	+294.36	+295.14	+294.38	+286.01	+285.64
    128.86	+294.40	+294.36	+295.14	+294.38	+286.03	+285.57
    129.76	+294.40	+294.36	+295.13	+294.38	+285.93	+285.57
    130.67	+294.40	+294.36	+295.14	+294.39	+285.85	+285.52
    131.57	+294.40	+294.36	+295.14	+294.39	+286.09	+285.63
    132.48	+294.40	+294.35	+295.14	+294.38	+285.98	+285.79
    133.38	+294.39	+294.36	+295.14	+294.38	+285.89	+285.62
    134.29	+294.39	+294.35	+295.14	+294.39	+286.05	+285.92
    135.19	+294.39	+294.35	+295.14	+294.39	+285.93	+285.73
    136.10	+294.39	+294.36	+295.14	+294.38	+286.00	+285.52
    137.00	+294.39	+294.35	+295.14	+294.39	+285.93	+285.66
    137.91	+294.40	+294.36	+295.13	+294.39	+285.94	+285.60
    138.81	+294.40	+294.35	+295.14	+294.38	+285.91	+285.68
    139.71	+294.40	+294.35	+295.14	+294.39	+285.89	+285.64
    140.62	+294.40	+294.35	+295.14	+294.39	+286.02	+285.71
    141.52	+294.40	+294.36	+295.14	+294.38	+286.02	+285.69
    142.43	+294.39	+294.36	+295.14	+294.38	+285.89	+285.64
    143.33	+294.39	+294.36	+295.14	+294.38	+286.08	+285.83
    144.24	+294.39	+294.35	+295.14	+294.38	+286.07	+285.74
    145.14	+294.39	+294.36	+295.14	+294.38	+285.97	+285.96
    146.05	+294.39	+294.36	+295.14	+294.38	+285.94	+285.77
    146.95	+294.39	+294.35	+295.14	+294.38	+286.04	+285.71
    147.86	+294.40	+294.36	+295.14	+294.39	+285.87	+285.62
    148.76	+294.40	+294.36	+295.14	+294.39	+286.08	+285.62
    149.67	+294.40	+294.35	+295.14	+294.39	+285.95	+285.52
    150.57	+294.40	+294.35	+295.14	+294.39	+285.97	+285.69
    151.48	+294.40	+294.36	+295.14	+294.38	+285.91	+285.75
    152.38	+294.40	+294.36	+295.14	+294.39	+285.96	+285.84
    153.29	+294.40	+294.36	+295.14	+294.38	+286.04	+285.95
    154.19	+294.40	+294.35	+295.14	+294.38	+286.06	+285.94
    155.10	+294.40	+294.35	+295.14	+294.39	+285.89	+285.77
    156.00	+294.40	+294.36	+295.14	+294.39	+286.00	+285.84
    156.91	+294.40	+294.36	+295.14	+294.39	+285.97	+285.82
    157.81	+294.40	+294.36	+295.14	+294.39	+286.07	+285.45
    158.72	+294.40	+294.36	+295.14	+294.39	+286.16	+285.72
    159.62	+294.40	+294.36	+295.14	+294.39	+285.95	+285.73
    160.53	+294.40	+294.36	+295.14	+294.39	+285.93	+285.77
    161.43	+294.40	+294.36	+295.14	+294.38	+286.09	+285.79
    162.34	+294.39	+294.36	+295.14	+294.38	+286.13	+285.89
    163.24	+294.40	+294.36	+295.14	+294.38	+285.98	+285.74
    164.15	+294.39	+294.36	+295.14	+294.39	+285.91	+285.76
    165.05	+294.40	+294.36	+295.14	+294.38	+285.99	+285.66
    165.96	+294.40	+294.36	+295.14	+294.39	+285.96	+285.73
    166.86	+294.40	+294.36	+295.14	+294.39	+286.00	+285.67
    167.77	+294.40	+294.36	+295.14	+294.39	+286.04	+285.65
    168.67	+294.40	+294.36	+295.13	+294.39	+286.12	+285.69
    169.58	+294.40	+294.36	+295.13	+294.39	+285.97	+285.57
    170.48	+294.40	+294.35	+295.14	+294.38	+286.00	+285.80
    171.39	+294.40	+294.36	+295.14	+294.38	+285.98	+285.78
    172.29	+294.40	+294.36	+295.14	+294.38	+285.94	+285.64
    173.20	+294.40	+294.36	+295.14	+294.38	+286.02	+285.71
    174.10	+294.40	+294.36	+295.14	+294.38	+285.91	+285.82
    175.01	+294.40	+294.36	+295.14	+294.39	+286.06	+285.81
    175.91	+294.40	+294.35	+295.14	+294.39	+285.89	+285.60
    176.82	+294.40	+294.36	+295.14	+294.39	+285.98	+285.69
    177.72	+294.40	+294.36	+295.14	+294.39	+286.00	+285.62
    178.62	+294.40	+294.36	+295.14	+294.39	+285.89	+285.67
    179.53	+294.40	+294.36	+295.14	+294.38	+285.63	+285.65
    180.43	+294.40	+294.36	+295.14	+294.39	+285.89	+285.74
    181.35	+294.40	+294.36	+295.14	+294.38	+285.90	+285.82
    182.25	+294.40	+294.36	+295.14	+294.39	+285.95	+285.76
    183.16	+294.40	+294.36	+295.14	+294.38	+285.98	+285.85
    184.06	+294.40	+294.36	+295.14	+294.39	+285.82	+285.73
    184.97	+294.40	+294.36	+295.14	+294.39	+286.00	+285.74
    185.87	+294.40	+294.36	+295.14	+294.39	+286.08	+285.66
    186.77	+294.40	+294.36	+295.14	+294.39	+286.00	+285.73
    187.68	+294.40	+294.36	+295.14	+294.39	+285.97	+285.73
    188.58	+294.40	+294.36	+295.13	+294.39	+285.85	+285.65
    189.49	+294.40	+294.36	+295.14	+294.38	+286.00	+285.62
    190.40	+294.40	+294.36	+295.14	+294.38	+285.91	+285.76
    191.30	+294.40	+294.36	+295.14	+294.39	+286.01	+285.63
    192.21	+294.40	+294.36	+295.14	+294.39	+285.78	+285.67
    193.11	+294.40	+294.36	+295.14	+294.39	+285.92	+285.68
    194.01	+294.40	+294.36	+295.13	+294.39	+285.98	+285.69
    194.92	+294.40	+294.36	+295.13	+294.39	+286.07	+285.67
    195.82	+294.40	+294.36	+295.13	+294.39	+285.97	+285.62
    196.73	+294.40	+294.36	+295.13	+294.39	+286.10	+285.69
    197.63	+294.40	+294.36	+295.13	+294.39	+285.95	+285.75
    198.54	+294.40	+294.36	+295.14	+294.38	+286.00	+285.71
    199.44	+294.40	+294.36	+295.14	+294.38	+285.86	+285.68
    200.35	+294.40	+294.36	+295.14	+294.39	+285.93	+285.67
    201.25	+294.40	+294.36	+295.14	+294.39	+285.79	+285.67
    202.16	+294.40	+294.36	+295.14	+294.39	+285.90	+285.81
    203.06	+294.40	+294.36	+295.14	+294.39	+285.87	+285.78
    203.97	+294.40	+294.36	+295.13	+294.39	+285.95	+285.65
    204.87	+294.40	+294.36	+295.13	+294.39	+285.99	+285.82
    205.78	+294.40	+294.36	+295.13	+294.39	+285.95	+285.65
    206.68	+294.40	+294.36	+295.13	+294.39	+285.98	+285.56
    207.58	+294.40	+294.36	+295.13	+294.39	+285.93	+285.56
    208.49	+294.40	+294.36	+295.14	+294.39	+285.91	+285.57
    209.39	+294.40	+294.36	+295.14	+294.39	+286.01	+285.63
    210.30	+294.40	+294.35	+295.14	+294.39	+286.11	+285.75
    211.20	+294.40	+294.35	+295.14	+294.39	+286.07	+285.84
    212.11	+294.40	+294.35	+295.14	+294.39	+285.96	+285.74
    213.01	+294.40	+294.36	+295.13	+294.38	+285.91	+285.73
    213.92	+294.40	+294.36	+295.14	+294.39	+285.93	+285.74
    214.82	+294.40	+294.36	+295.13	+294.39	+286.02	+285.67
    215.72	+294.40	+294.36	+295.14	+294.39	+285.91	+285.61
    216.63	+294.40	+294.36	+295.14	+294.39	+286.03	+285.45
    217.53	+294.40	+294.36	+295.14	+294.39	+286.05	+285.54
    218.43	+294.40	+294.35	+295.14	+294.39	+285.87	+285.65
    219.34	+294.40	+294.35	+295.14	+294.39	+285.93	+285.69
    220.26	+294.40	+294.35	+295.14	+294.39	+286.03	+285.65
    221.19	+294.40	+294.35	+295.14	+294.39	+286.00	+285.99
    222.10	+294.40	+294.35	+295.14	+294.39	+285.90	+285.71
    223.00	+294.40	+294.36	+295.14	+294.38	+286.03	+285.82
    223.91	+294.40	+294.36	+295.14	+294.39	+285.90	+285.59
    224.81	+294.40	+294.36	+295.14	+294.39	+285.93	+285.76
    225.71	+294.40	+294.36	+295.14	+294.39	+286.04	+285.55
    226.62	+294.40	+294.36	+295.14	+294.39	+285.94	+285.56
    227.52	+294.40	+294.35	+295.14	+294.39	+286.02	+285.55
    228.42	+294.40	+294.35	+295.14	+294.39	+286.02	+285.69
    229.33	+294.40	+294.36	+295.14	+294.39	+285.89	+285.61
    230.23	+294.40	+294.35	+295.14	+294.39	+286.03	+285.60
    231.14	+294.40	+294.36	+295.14	+294.39	+285.81	+285.65
    232.04	+294.40	+294.36	+295.14	+294.39	+285.82	+285.63
    232.94	+294.40	+294.36	+295.14	+294.39	+285.96	+285.70
    233.85	+294.40	+294.36	+295.14	+294.39	+285.89	+285.57
    234.75	+294.40	+294.36	+295.14	+294.39	+285.87	+285.62
    235.65	+294.40	+294.36	+295.14	+294.38	+285.99	+285.68
    236.56	+294.41	+294.36	+295.14	+294.39	+285.83	+285.62
    237.46	+294.40	+294.36	+295.14	+294.39	+285.89	+285.63
    238.36	+294.41	+294.36	+295.14	+294.39	+286.00	+285.54
    239.27	+294.40	+294.36	+295.14	+294.39	+286.02	+285.57
    240.17	+294.40	+294.36	+295.14	+294.39	+285.98	+285.78
    241.07	+294.40	+294.36	+295.14	+294.39	+285.93	+285.80
    241.98	+294.40	+294.36	+295.14	+294.38	+286.03	+286.03
    242.88	+294.39	+294.36	+295.14	+294.39	+285.95	+285.74
    243.79	+294.39	+294.36	+295.14	+294.39	+286.02	+285.90
    244.69	+294.39	+294.36	+295.14	+294.39	+285.98	+285.67
    245.59	+294.40	+294.36	+295.14	+294.39	+285.96	+285.69
    246.50	+294.40	+294.36	+295.14	+294.39	+285.93	+285.58
    247.40	+294.41	+294.36	+295.14	+294.39	+286.00	+285.54
    248.30	+294.41	+294.36	+295.14	+294.39	+285.93	+285.52
    249.20	+294.40	+294.36	+295.14	+294.39	+286.05	+285.73
    250.11	+294.40	+294.36	+295.14	+294.39	+285.98	+285.59
    251.01	+294.40	+294.36	+295.14	+294.39	+285.93	+285.81
    251.91	+294.40	+294.36	+295.14	+294.39	+286.04	+285.88
    252.82	+294.40	+294.36	+295.14	+294.38	+286.02	+285.87
    253.72	+294.39	+294.36	+295.14	+294.38	+285.96	+285.74
    254.63	+294.39	+294.36	+295.14	+294.39	+286.00	+285.80
    255.53	+294.40	+294.36	+295.14	+294.39	+285.95	+285.77
    256.43	+294.40	+294.36	+295.14	+294.39	+286.06	+285.71
    257.34	+294.40	+294.36	+295.14	+294.39	+286.12	+285.74
    258.24	+294.40	+294.36	+295.14	+294.39	+286.01	+285.76
    259.14	+294.40	+294.36	+295.14	+294.38	+286.01	+285.77
    260.05	+294.40	+294.36	+295.14	+294.38	+285.95	+285.73
    260.95	+294.40	+294.36	+295.14	+294.38	+285.91	+285.91
    261.85	+294.40	+294.36	+295.14	+294.38	+286.08	+285.98
    262.76	+294.40	+294.36	+295.14	+294.39	+285.95	+285.65
    263.66	+294.40	+294.36	+295.14	+294.39	+285.84	+285.86
    264.57	+294.40	+294.36	+295.14	+294.39	+285.90	+285.86
    265.47	+294.40	+294.36	+295.14	+294.39	+286.08	+285.75
    266.38	+294.40	+294.36	+295.14	+294.39	+286.05	+285.64
    267.28	+294.40	+294.36	+295.14	+294.39	+286.03	+285.72
    268.19	+294.40	+294.36	+295.14	+294.39	+285.91	+285.60
    269.09	+294.40	+294.36	+295.14	+294.38	+285.79	+285.65
    270.00	+294.40	+294.36	+295.14	+294.38	+285.98	+285.82
    270.90	+294.40	+294.36	+295.14	+294.39	+285.94	+285.89
    271.81	+294.40	+294.36	+295.14	+294.38	+285.90	+285.73
    272.71	+294.40	+294.36	+295.14	+294.39	+286.08	+285.74
    273.61	+294.40	+294.36	+295.14	+294.39	+285.95	+285.82
    274.52	+294.40	+294.36	+295.14	+294.39	+286.11	+285.74
