#--------------------------------------------------------------------
#Temperature Measurments using a Lakeshore Temperature Control 335 A-B Cernox
#Type of file: Complete Data
#Sensors: Sensor 1 -- CernoxA  Sensor 2 -- CernoxB  
#Date: 07-05-2021 15:46:31
#--------------------------------------------------------------------

#    Time	Sensor 1	Sensor 2	
    302.03	+294.84	+295.01
    302.94	+294.84	+295.01
    303.84	+294.84	+295.01
    304.75	+294.84	+295.01
    305.65	+294.84	+295.01
    306.55	+294.84	+295.01
    307.46	+294.84	+295.01
    308.37	+294.84	+295.01
    309.27	+294.83	+295.01
    310.17	+294.84	+295.01
    311.08	+294.83	+295.01
    311.98	+294.84	+295.01
    312.89	+294.84	+295.01
    313.79	+294.84	+295.01
    314.70	+294.84	+295.01
    315.60	+294.84	+295.01
    316.51	+294.83	+295.01
    317.41	+294.84	+295.01
    318.32	+294.84	+295.01
    319.22	+294.84	+295.01
    320.13	+294.84	+295.01
    321.03	+294.84	+295.01
    321.93	+294.84	+295.01
    322.84	+294.84	+295.01
    323.74	+294.84	+295.01
    324.65	+294.84	+295.01
    325.55	+294.84	+295.01
    326.46	+294.84	+295.01
    327.36	+294.84	+295.01
    328.27	+294.84	+295.01
    329.17	+294.84	+295.01
    330.08	+294.84	+295.01
    330.98	+294.84	+295.01
    331.89	+294.83	+295.01
    332.79	+294.83	+295.01
    333.69	+294.84	+295.01
    334.60	+294.84	+295.01
    335.51	+294.84	+295.01
    336.41	+294.84	+295.01
    337.31	+294.84	+295.01
    338.22	+294.84	+295.01
    339.12	+294.84	+295.01
    340.03	+294.84	+295.01
    340.93	+294.84	+295.01
    341.84	+294.84	+295.01
    342.74	+294.84	+295.01
    343.65	+294.83	+295.01
    344.55	+294.83	+295.01
    345.46	+294.84	+295.01
    346.36	+294.84	+295.01
    347.26	+294.84	+295.01
    348.17	+294.84	+295.01
    349.07	+294.84	+295.01
    349.97	+294.84	+295.01
    350.88	+294.84	+295.01
    351.78	+294.83	+295.01
    352.69	+294.84	+295.01
    353.59	+294.83	+295.01
    354.50	+294.84	+295.01
    355.40	+294.84	+295.01
    356.30	+294.84	+295.01
    357.21	+294.84	+295.01
    358.11	+294.84	+295.01
    359.01	+294.84	+295.01
    359.92	+294.84	+295.01
    360.82	+294.84	+295.01
    361.72	+294.84	+295.01
    362.63	+294.84	+295.00
    363.53	+294.84	+295.01
    364.44	+294.84	+295.01
    365.34	+294.84	+295.01
    366.24	+294.84	+295.01
    367.15	+294.84	+295.01
    368.05	+294.84	+295.01
    368.96	+294.84	+295.01
    369.86	+294.84	+295.01
    370.77	+294.84	+295.01
    371.67	+294.84	+295.01
    372.57	+294.84	+295.01
    373.48	+294.84	+295.01
    374.38	+294.84	+295.01
    375.28	+294.84	+295.01
    376.19	+294.84	+295.01
    377.09	+294.84	+295.01
    377.99	+294.84	+295.01
    378.90	+294.84	+295.01
    379.80	+294.84	+295.01
    380.71	+294.84	+295.01
    381.61	+294.84	+295.01
    382.51	+294.84	+295.01
    383.42	+294.84	+295.01
    384.32	+294.84	+295.02
    385.22	+294.84	+295.01
    386.13	+294.84	+295.01
    387.03	+294.84	+295.01
    387.93	+294.84	+295.01
    388.84	+294.84	+295.01
    389.74	+294.84	+295.01
    390.65	+294.84	+295.01
    391.55	+294.84	+295.01
    392.46	+294.84	+295.01
    393.36	+294.84	+295.01
    394.26	+294.84	+295.01
    395.17	+294.84	+295.01
    396.07	+294.84	+295.01
    396.98	+294.83	+295.01
    397.88	+294.84	+295.01
    398.78	+294.84	+295.01
    399.69	+294.84	+295.01
    400.59	+294.84	+295.01
    401.50	+294.84	+295.01
    402.40	+294.84	+295.01
    403.30	+294.84	+295.01
    404.21	+294.84	+295.01
    405.11	+294.84	+295.01
    406.01	+294.84	+295.01
    406.92	+294.84	+295.01
    407.82	+294.84	+295.01
    408.73	+294.84	+295.01
    409.63	+294.84	+295.01
    410.54	+294.84	+295.01
    411.44	+294.84	+295.01
    412.34	+294.84	+295.01
    413.25	+294.84	+295.01
    414.15	+294.84	+295.01
    415.05	+294.84	+295.02
    415.96	+294.84	+295.01
    416.86	+294.84	+295.01
    417.76	+294.84	+295.01
    418.67	+294.84	+295.01
    419.57	+294.84	+295.01
    420.47	+294.84	+295.01
    421.37	+294.84	+295.01
    422.28	+294.84	+295.01
    423.18	+294.84	+295.01
    424.08	+294.84	+295.01
    424.98	+294.84	+295.01
    425.89	+294.84	+295.01
    426.79	+294.84	+295.01
    427.69	+294.84	+295.01
    428.59	+294.84	+295.01
    429.50	+294.84	+295.01
    430.40	+294.84	+295.01
    431.31	+294.84	+295.01
    432.21	+294.84	+295.01
    433.11	+294.84	+295.01
    434.02	+294.84	+295.01
    434.92	+294.83	+295.01
    435.82	+294.84	+295.01
    436.73	+294.84	+295.01
    437.63	+294.84	+295.01
    438.53	+294.84	+295.01
    439.44	+294.84	+295.01
    440.34	+294.84	+295.01
    441.24	+294.84	+295.01
    442.15	+294.84	+295.01
    443.05	+294.84	+295.01
    443.95	+294.84	+295.01
    444.86	+294.84	+295.01
    445.76	+294.84	+295.01
    446.67	+294.84	+295.01
    447.57	+294.84	+295.01
    448.48	+294.84	+295.01
    449.38	+294.84	+295.01
    450.28	+294.84	+295.01
    451.19	+294.84	+295.02
    452.09	+294.84	+295.01
    452.99	+294.84	+295.01
    453.90	+294.84	+295.01
    454.80	+294.84	+295.01
    455.70	+294.84	+295.01
    456.61	+294.84	+295.01
    457.51	+294.84	+295.01
    458.41	+294.84	+295.01
    459.32	+294.84	+295.01
    460.22	+294.84	+295.01
    461.12	+294.84	+295.01
    462.03	+294.84	+295.01
    462.93	+294.84	+295.01
    463.84	+294.84	+295.01
    464.74	+294.84	+295.01
    465.64	+294.84	+295.01
    466.55	+294.84	+295.01
    467.45	+294.84	+295.01
    468.35	+294.84	+295.01
    469.26	+294.84	+295.01
    470.16	+294.84	+295.02
    471.06	+294.84	+295.01
    471.97	+294.84	+295.01
    472.87	+294.84	+295.01
    473.77	+294.84	+295.01
    474.68	+294.84	+295.01
    475.58	+294.84	+295.01
    476.48	+294.84	+295.01
    477.39	+294.84	+295.01
    478.29	+294.84	+295.01
    479.20	+294.84	+295.01
    480.10	+294.84	+295.01
    481.00	+294.84	+295.01
    481.91	+294.84	+295.01
    482.81	+294.84	+295.01
    483.72	+294.84	+295.01
    484.62	+294.84	+295.01
    485.52	+294.84	+295.01
    486.43	+294.84	+295.01
    487.33	+294.84	+295.01
    488.24	+294.84	+295.01
    489.14	+294.84	+295.01
    490.05	+294.84	+295.01
    490.95	+294.84	+295.01
    491.86	+294.84	+295.01
    492.76	+294.84	+295.01
    493.66	+294.84	+295.01
    494.57	+294.84	+295.01
    495.47	+294.84	+295.01
    496.38	+294.84	+295.01
    497.28	+294.84	+295.01
    498.18	+294.84	+295.01
    499.09	+294.84	+295.01
    499.99	+294.84	+295.01
    500.89	+294.84	+295.01
    501.80	+294.84	+295.02
    502.70	+294.84	+295.01
    503.61	+294.84	+295.01
    504.51	+294.84	+295.01
    505.41	+294.84	+295.01
    506.32	+294.84	+295.01
    507.22	+294.84	+295.01
    508.12	+294.84	+295.01
    509.03	+294.84	+295.01
    509.93	+294.84	+295.01
    510.84	+294.84	+295.01
    511.74	+294.84	+295.01
    512.64	+294.84	+295.01
    513.55	+294.84	+295.01
    514.45	+294.84	+295.01
    515.35	+294.84	+295.01
    516.26	+294.84	+295.01
    517.16	+294.84	+295.01
    518.06	+294.84	+295.01
    518.97	+294.84	+295.01
    519.87	+294.84	+295.01
    520.77	+294.84	+295.01
    521.68	+294.84	+295.01
    522.58	+294.84	+295.01
    523.48	+294.84	+295.01
    524.39	+294.84	+295.02
    525.29	+294.84	+295.01
    526.20	+294.84	+295.01
    527.10	+294.84	+295.02
    528.01	+294.85	+295.01
    528.91	+294.84	+295.02
    529.82	+294.84	+295.01
    530.72	+294.84	+295.01
    531.62	+294.84	+295.01
    532.53	+294.84	+295.01
    533.43	+294.84	+295.01
    534.34	+294.84	+295.01
    535.24	+294.84	+295.01
    536.15	+294.84	+295.01
    537.05	+294.84	+295.01
    537.96	+294.84	+295.01
    538.86	+294.84	+295.01
    539.77	+294.84	+295.01
    540.67	+294.84	+295.01
    541.58	+294.84	+295.01
    542.49	+294.84	+295.01
    543.39	+294.84	+295.01
    544.30	+294.84	+295.01
    545.20	+294.84	+295.01
